UID,FRP,Previous_Box,NMR_Sample_map
2022-06-28_3038_15,,Box_2_2024_67,NMR_B5_26
2022-06-27_3133_23,,Box_2_2024_71,NMR_B5_27
2022-06-28_3320_18,,"Box_2_2024_77,Box_2_2024_48",NMR_B5_28
2022-06-25_3327_17,,"Box_2_2024_8,Box_2_2024_66",NMR_B5_29
2022-06-26_3337_16,,"Box_2_2024_81,Box_1_2024_39",NMR_B5_30
2022-07-21_3433_8,,"Box_3_2024_14,Box_3_2024_40,Box_11_2024_27",NMR_B5_31
2022-08-03_3177_8,,"Box_3_2024_19,Box_13_2024_8,Box_13_2024_5",NMR_B5_32
2022-07-28_3439_12,,"Box_3_2024_20,Box_3_2024_53,Box_13_2024_36",NMR_B5_33
2022-08-03_3419_9,,"Box_3_2024_32,Box_14_2024_53,Box_4_2024_49",NMR_B5_34
2022-07-21_2851_11,,"Box_3_2024_35,Box_12_2024_76,Box_12_2024_65",NMR_B5_35
2022-08-03_3446_18,,"Box_3_2024_39,Box_12_2024_6,Box_3_2024_55",NMR_B5_36
2022-08-03_3183_19,,"Box_3_2024_42,Box_4_2024_57,Box_14_2024_63",NMR_B5_37
2022-08-04_3154_1,,"Box_3_2024_43,Box_3_2024_17,Box_11_2024_5",NMR_B5_38
3561_18,,"Box_3_2024_5,Box_11_2024_39,Box_12_2024_68",NMR_B5_39
2022-07-27_3246_8,,"Box_3_2024_54,Box_12_2024_36,Box_4_2024_29",NMR_B5_40
2022-06-24_3163_6,,"Box_3_2024_78,Box_1_2024_71",NMR_B5_41
2022-08-03_3495_15,,"Box_4_2024_13,Box_11_2024_48,Box_4_2024_32",NMR_B5_42
2022-08-04_3479_2,,"Box_4_2024_15,Box_12_2024_19,Box_12_2024_59",NMR_B5_43
2022-08-03_2798_6,,"Box_4_2024_22,Box_4_2024_6,Box_4_2024_80",NMR_B5_44
2022-07-20_3331_12,,"Box_4_2024_23,Box_13_2024_41,Box_11_2024_59",NMR_B5_45
2022-08-03_2653_12,,"Box_4_2024_27,Box_14_2024_62,Box_14_2024_55",NMR_B5_46
2022-07-21_3465_1,,"Box_4_2024_35,Box_11_2024_63,Box_12_2024_75",NMR_B5_47
2022-07-22_3441_2,,"Box_4_2024_4,Box_11_2024_51",NMR_B5_48
2022-07-18_3453_2,,"Box_4_2024_46,Box_11_2024_22",NMR_B5_49
2022-08-04_3180_3,,"Box_4_2024_53,Box_4_2024_18,Box_3_2024_64",NMR_B5_50
2022-07-28_3287_4,,"Box_4_2024_56,Box_3_2024_73,Box_12_2024_31",NMR_B5_51
2022-07-22_3302_1,,"Box_4_2024_58,Box_11_2024_57,Box_4_2024_10",NMR_B5_52
2022-08-04_3563_16,,"Box_4_2024_74,Box_11_2024_9,Box_3_2024_1",NMR_B5_53
2022-07-21_3418_5,,"Box_4_2024_75,Box_13_2024_2,Box_13_2024_18",NMR_B5_54
2022-07-28_3496_19,,"Box_4_2024_78,Box_3_2024_60,Box_3_2024_77",NMR_B5_55
2022-07-21_2647_19,,"Box_4_2024_9,Box_11_2024_12,Box_13_2024_43",NMR_B5_56
2022-12-13_3835_25,,"Box_5_2024_10,Box_5_2024_34",NMR_B5_57
2022-12-09_3743_16,"Box_5_2024_13,Box_9_2024_62",NA,NMR_B5_58
2022-03-27_2940_9,"Box_5_2024_14,Box_6_2024_58",NA,NMR_B5_59
2022-12-09_3831_14,"Box_5_2024_15,Box_7_2024_3",NA,NMR_B5_60
2022-12-09_3787_6,"Box_5_2024_16,Box_7_2024_34",NA,NMR_B5_61
2022-12-09_3782_8,"Box_5_2024_2,Box_5_2024_20",NA,NMR_B5_62
2022-03-17_2605_16,"Box_5_2024_26,Box_6_2024_33",NA,NMR_B5_63
2022-03-31_2709_19,"Box_5_2024_28,Box_6_2024_63",NA,NMR_B5_64
2022-12-14_3828_16,"Box_5_2024_38,Box_5_2024_48",NA,NMR_B5_65
