StudyID,Who,Population,Sex,N,Biome,Country,Lattitude,Longitude,Region,SerumLevel_mg_dL,SL_SD_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY,study_ID_Ancestry
CHN9,EM,Chinese,M/F,287,Tropical Rainforest,China,30.53,117.12,Asia,165,NA,66.5,NA,79.9,NA,92.5,NA,Chinese,CHN10
MALA9-D,Emily,Kensiu,F,6,tropical rainforest,Malaysia,5.777649,100.908823,Asia,166.6677,15.8547,NA,NA,NA,NA,NA,NA,Austroasiatic,MALA9-D
CHN9,EM,Chinese,M/F,90,Tropical Rainforest,China,30.53,117.12,Asia,167.6,NA,62,NA,89,NA,90.2,NA,Chinese,CHN10
DEL1-B,EM,Indian,M,27,Tropical Rainforest,India,28.61,77.21,Asia,170,18,50,11,90,18,152,28,Indian,DEL1-A
DEL1-B,EM,Indian,F,93,Tropical Rainforest,India,28.61,77.21,Asia,171,20,51,9,96,21,120,22,Indian,DEL1-A
MRW1,Gisele,Marwari,F,306,Tropical rainforest,India,22.5726,88.3639,Asia,171.18,NA,NA,NA,NA,NA,NA,NA,Indian,MRW1
MALA9-C,Emily,Jehai,M,16,tropical rainforest,Malaysia,5.432135,101.07865,Asia,171.6948,17.7882,NA,NA,NA,NA,NA,NA,Negrito,MALA9-C
MALA11,EM,Malay,M,111,Tropical Rainforest,Malaysia,2.8,113.88,Asia,172.8549,28.6158,NA,NA,NA,NA,NA,NA,Malaysian,MALA11
MALA9-A,Emily,Bidayuh,M,19,tropical rainforest,Malaysia,1.382561,110.06311,Asia,173.2416,25.9089,NA,NA,NA,NA,NA,NA,Austronesian,MALA9-A
DEL1-B,EM,Indian,F,63,Tropical Rainforest,India,28.61,77.21,Asia,175,20,51,10,94,17,151,26,Indian,DEL1-A
DEL1-B,EM,Indian,M,31,Tropical Rainforest,India,28.61,77.21,Asia,175,36,52,12,97,36,128,29,Indian,DEL1-A
MALA9-C,Emily,Jehai,F,9,tropical rainforest,Malaysia,5.432135,101.07865,Asia,176.7219,29.3892,NA,NA,NA,NA,NA,NA,Negrito,MALA9-C
MRW1,Gisele,Marwari,M,353,Tropical rainforest,India,22.5726,88.3639,Asia,176.864,NA,NA,NA,NA,NA,NA,NA,Indian,MRW1
DEL1-B,EM,Indian,M,17,Tropical Rainforest,India,28.61,77.21,Asia,179,22,49,11,99,21,155,34,Indian,DEL1-A
MALA11,EM,Malay,F,127,Tropical Rainforest,Malaysia,2.8,113.88,Asia,179.0421,33.6429,NA,NA,NA,NA,NA,NA,Malaysian,MALA11
MALA9-B,Emily,Temuan,F,21,tropical rainforest,Malaysia,2.771267,102.216302,Asia,183.2958,23.202,NA,NA,NA,NA,NA,NA,Austroasiatic,MALA9-B
DEL1-B,EM,Indian,F,56,Tropical Rainforest,India,28.61,77.21,Asia,185,31,54,9,103,30,138,24,Indian,DEL1-A
DEL1-B,EM,Indian,F,47,Tropical Rainforest,India,28.61,77.21,Asia,186,38,52,10,104,39,151,29,Indian,DEL1-A
MALA9-A,Emily,Bidayuh,F,28,tropical rainforest,Malaysia,1.382561,110.06311,Asia,187.1628,21.6552,NA,NA,NA,NA,NA,NA,Austronesian,MALA9-A
NAN1-A,KIKI,Nangapandans (Helminth infected),M/F,446,Tropical Rainforest,Indonesia,-7,121,Asia,189.483,42.537,58.005,15.468,119.877,38.67,115.141,61.999,Austronesian,NAN1-A
